
Note: Compatibility modes selected: hs a


Circuit: * amp-selfosc @ ff_125c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vin                                       3.63
en                                        3.63
vout_light                             1.79886
loop_light                             3.28073
xdut_light.fb                          1.19924
xdut_light.vref                            1.2
xdut_light.xerramp.nbias              0.662374
xdut_light.xerramp.xrbias.11          0.662589
xdut_light.xerramp.xrbias.21            3.6283
xdut_light.xerramp.rbt                 3.62851
xdut_light.xerramp.tail               0.575524
xdut_light.xerramp.nd                  2.66851
xdut_light.xerramp.n1                  3.11703
xdut_light.xerramp.nz                  3.11703
xdut_light.xerramp.xrz.11              3.11703
xdut_light.xerramp.xrz.21              3.11703
xdut_light.xerramp.bg                  2.80878
xdut_light.xerramp.nbp                 3.11703
xdut_light.xerramp.xrbufb.11           3.11703
xdut_light.xerramp.xrbufb.21           3.11703
xdut_light.xerramp.enb             3.75695e-08
xdut_light.xilimit.isns                1.79897
xdut_light.xilimit.xrsns.11            1.79886
xdut_light.xilimit.xrsns.21            1.79897
xdut_light.xilimit.pb                   2.9445
xdut_light.xilimit.vth                 1.90052
xdut_light.xilimit.xrref.11             1.7989
xdut_light.xilimit.xrref.21            1.90048
xdut_light.xilimit.bt                      1.2
xdut_light.xilimit.bb              0.000214855
xdut_light.xilimit.xrbias.11        0.00025556
xdut_light.xilimit.xrbias.21           1.19996
xdut_light.xilimit.cn                 0.430307
xdut_light.xilimit.tail                2.72986
xdut_light.xilimit.co                0.0104141
xdut_light.xilimit.xrtail.11           2.72993
xdut_light.xilimit.xrtail.21           3.62769
xdut_light.xilimit.tailp               3.62776
xdut_light.xilimit.enb             3.75695e-08
xdut_light.xilimit.clg                 3.62989
xdut_light.xilimit.xrl2.11             3.62989
xdut_light.xilimit.xrl2.21                3.63
xdut_light.xsoftstart.bt                   1.2
xdut_light.xsoftstart.bb           7.73827e-05
xdut_light.xsoftstart.xrss_bias.11     9.20435e-05
xdut_light.xsoftstart.xrss_bias.21         1.19999
xdut_light.xsoftstart.ssr              2.13907
xdut_light.xsoftstart.enb          3.75695e-08
