
Note: Compatibility modes selected: hs a


Circuit: * amp-selfosc @ fs_27c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vin                                       3.63
en                                        3.63
vout_light                              1.7993
loop_light                             2.90627
xdut_light.fb                          1.19953
xdut_light.vref                            1.2
xdut_light.xerramp.nbias              0.721164
xdut_light.xerramp.xrbias.11          0.721409
xdut_light.xerramp.xrbias.21           3.62872
xdut_light.xerramp.rbt                 3.62897
xdut_light.xerramp.tail               0.483097
xdut_light.xerramp.nd                  2.42977
xdut_light.xerramp.n1                  2.78464
xdut_light.xerramp.nz                  2.78464
xdut_light.xerramp.xrz.11              2.78464
xdut_light.xerramp.xrz.21              2.78464
xdut_light.bg                          2.09012
xdut_light.xerramp.nrza                2.78464
xdut_light.xerramp.xrza.11             2.78464
xdut_light.xerramp.xrza.21             2.78464
xdut_light.xerramp.nf                  2.43738
xdut_light.xerramp.nbp                 2.78464
xdut_light.xerramp.xrbufb.11           2.78464
xdut_light.xerramp.xrbufb.21           2.78464
xdut_light.xerramp.enb              4.5156e-09
xdut_light.xilimit.isns                1.79943
xdut_light.xilimit.xrsns.11             1.7993
xdut_light.xilimit.xrsns.21            1.79943
xdut_light.xilimit.pb                  2.67066
xdut_light.xilimit.vth                 1.90071
xdut_light.xilimit.xrref.11            1.79933
xdut_light.xilimit.xrref.21            1.90067
xdut_light.xilimit.bt                      1.2
xdut_light.xilimit.bb              0.000112859
xdut_light.xilimit.xrbias.11       0.000149525
xdut_light.xilimit.xrbias.21           1.19996
xdut_light.xilimit.cn                 0.534493
xdut_light.xilimit.tail                2.95973
xdut_light.xilimit.co               0.00410176
xdut_light.xilimit.xrtail.11           2.95978
xdut_light.xilimit.xrtail.21           3.62891
xdut_light.xilimit.tailp               3.62896
xdut_light.xilimit.enb              4.5156e-09
xdut_light.xilimit.clg                    3.63
xdut_light.xilimit.xrl2.11                3.63
xdut_light.xilimit.xrl2.21                3.63
xdut_light.xsoftstart.bt                   1.2
xdut_light.xsoftstart.bb           4.06456e-05
xdut_light.xsoftstart.xrss_bias.11      5.3851e-05
